# All times in milliseconds (msec)
# Column 1 = input data size
# Column 2 = binsearch map insert
# Column 3 = hash map insert
# Column 4 = bst map insert
# Column 5 = avl map insert
# Column 6 = binsearch map erase
# Column 7 = hash map erase
# Column 8 = bst map erase
# Column 9 = avl map erase
# Column 10 = binsearch map contains
# Column 11 = hash map contains
# Column 12 = bst map contains
# Column 13 = avl map contains
# Column 14 = binsearch map find range
# Column 15 = hash map find range
# Column 16 = bst map find range
# Column 17 = avl map find range
# Column 18 = binsearch map next key
# Column 19 = hash map next key
# Column 20 = bst map next key
# Column 21 = avl map next key
# Column 22 = binsearch map sorted keys
# Column 23 = hash map sorted keys
# Column 24 = bst map sorted keys
# Column 25 = avl map sorted keys
# Column 26 = bst map height
# Column 27 = avl map height
# Column 28 = log base 2 of input size
0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 0 0 
10000 0.03 0.00 0.00 0.00 0.05 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.07 0.00 0.00 0.00 0.07 0.00 0.00 0.13 0.56 0.25 0.19 322 15 14 
20000 0.06 0.00 0.01 0.00 0.07 0.00 0.04 0.00 0.00 0.00 0.01 0.00 0.00 0.13 0.02 0.00 0.00 0.14 0.01 0.00 0.35 1.19 0.52 0.40 635 16 15 
30000 0.09 0.00 0.01 0.00 0.10 0.00 0.05 0.00 0.00 0.00 0.01 0.00 0.02 0.22 0.02 0.00 0.00 0.22 0.01 0.00 0.58 1.62 0.71 0.57 947 16 15 
40000 0.12 0.00 0.02 0.00 0.13 0.00 0.07 0.00 0.00 0.00 0.02 0.00 0.00 0.30 0.03 0.00 0.00 0.30 0.02 0.00 0.87 2.63 1.11 0.87 1260 17 16 
50000 0.15 0.00 0.01 0.00 0.15 0.00 0.03 0.00 0.00 0.00 0.02 0.00 1.49 1.77 0.08 0.04 0.00 0.43 0.03 0.00 0.65 2.75 1.37 1.09 1572 17 16 
60000 0.15 0.00 0.05 0.00 0.16 0.00 0.09 0.00 0.00 0.00 0.01 0.00 0.06 0.63 0.06 0.01 0.00 0.58 0.04 0.00 0.78 4.10 2.16 1.77 1885 17 16 
70000 0.18 0.00 0.01 0.00 0.19 0.00 0.01 0.00 0.00 0.00 0.02 0.00 2.36 3.14 0.12 0.05 0.00 0.77 0.01 0.00 1.72 5.00 2.61 2.23 2197 18 17 
80000 0.17 0.00 0.07 0.00 0.18 0.00 0.12 0.00 0.00 0.00 0.04 0.00 1.65 2.31 0.11 0.04 0.00 0.89 0.06 0.00 1.07 5.80 3.23 3.13 2510 18 17 
90000 0.19 0.00 0.02 0.00 0.21 0.00 0.04 0.00 0.00 0.00 0.07 0.00 3.64 4.55 0.14 0.06 0.00 1.14 0.02 0.00 1.27 7.29 3.74 3.39 2822 18 17 
100000 0.18 0.00 0.07 0.00 0.20 0.00 0.08 0.00 0.00 0.00 0.07 0.00 6.00 7.36 0.21 0.09 0.00 1.33 0.07 0.00 1.28 6.73 4.67 4.23 3135 18 17 
